证券代码,证券名称,首发上市日期,相对大盘区间涨跌幅3月前,相对大盘区间涨跌幅6月前,相对大盘区间涨跌幅52周前,"收盘价
[交易日期]最新(2020-07-21)
[复权方式]不复权","每股收益EPS(基本)
[报告期]最新一期
[单位]元","每股息税前利润
[报告期]最新一期
[单位]元","净资产收益率ROE(平均)
[报告期]最新一期
[单位]%","净资产收益率ROE(加权)
[报告期]最新一期
[单位]%","销售净利率
[报告期]最新一期
[单位]%","总资产报酬率ROA
[报告期]最新一期
[单位]%","销售毛利率
[报告期]最新一期
[单位]%","研发费用/营业总收入
[报告期]最新一期","投入资本回报率ROIC(TTM)
[交易日期]最新(2020-07-21)
[单位]%
[TTM基准日]报表公告日期","年化投入资本回报率ROIC
[报告期]最新一期
[单位]%","EBITDA/营业总收入
[报告期]最新一期
[单位]%","价值变动净收益/利润总额
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/营业收入
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/经营活动净收益
[报告期]最新一期
[单位]%","资产负债率
[报告期]最新一期
[单位]%","流动资产/总资产
[报告期]最新一期
[单位]%","非流动资产/总资产
[报告期]最新一期
[单位]%","流动比率
[报告期]最新一期","现金比率
[报告期]最新一期
[调整类型]调整前","速动比率
[报告期]最新一期","息税折旧摊销前利润/负债合计
[报告期]最新一期","存货周转天数
[报告期]最新一期
[单位]天","应收账款周转天数(含应收票据)
[报告期]最新一期
[单位]天","存货周转率
[报告期]最新一期
[单位]次","基本每股收益同比增长率
[报告期]最新一期
[单位]%","营业总收入同比增长率
[报告期]最新一期
[单位]%","收益质量风险
[报告期]最新一期"
000501.SZ,鄂武商A,1992-11-20,56.66205457,50.68406147,73.3669521,19.16,-0.29,-0.276263374,-2.392708608,-2.4,-17.41074097,-0.897646897,29.74906661,——,5.372113225,-6.863807806,——,——,-14.97481614,——,60.88622819,28.96242068,71.03757932,0.532093638,0.165270356,0.249589636,——,363.7385721,2.241211113,0.247430454,-174.3589744,-72.80296538,——
000502.SZ,绿景控股,1992-11-23,-15.28359113,-7.551141085,-17.22508208,7.13,-0.0038,-0.004555872,-0.354910081,-0.35,-18.84454109,-0.342610885,2.581458703,——,-5.01431242,-1.417685486,——,——,-98.99852593,——,14.51842161,56.77816407,43.22183593,3.910766997,1.949540347,3.162483249,——,645.9898399,57.47115711,0.139321077,-575,-0.285793812,——
000503.SZ,国新健康,1992-11-30,-6.860680966,-28.95408597,-24.90683791,13.87,-0.0792,-0.080678188,-5.983583335,-5.99,-414.299594,-5.706145225,-136.015594,3.231666786,-0.344568129,-23.8948688,——,——,-316.7946524,——,6.154518118,68.38419761,31.61580239,11.11121883,8.684877078,11.11071271,——,0.084928579,57.50214832,1059.713946,-42.96028881,1.688923643,——
600621.SH,华鑫股份,1992-12-02,20.78403805,44.47314799,54.33046944,23.05,0.09,0.104745153,1.561716682,1.56,249.6036264,0.451051798,42.77246325,——,0.380312146,1.683373812,——,142.3161825,6964.900801,——,74.92300535,95.72538458,4.274615417,1.435067386,0.498943699,1.435067386,——,——,187.2599242,——,50,54.06978325,——
600622.SH,光大嘉宝,1992-12-03,3.581657104,4.286368135,-18.29826856,4.44,0.06,0.168217964,1.374969719,1.37,9.746462033,0.892931781,49.03896679,——,2.301922656,2.178784695,——,-3.977336123,-8.599375387,-48.88170454,65.96835485,44.40929319,55.59070681,1.509060854,0.348133277,0.543428879,——,1730.262093,23.04068388,0.052015241,-45.45454545,-43.95231747,——
600623.SH,华谊集团,1992-12-04,-9.445865836,-19.99597171,-39.41421169,5.83,-0.1,-0.094564392,-1.103151253,-1.1,-4.844524579,-0.414426565,8.790268705,1.436940568,0.300967324,-2.107319994,——,——,-8.766725602,——,56.20259308,47.86996091,52.13003909,1.124722966,0.510993845,0.900455414,——,73.01391316,33.04604727,1.232641782,-166.6666667,-41.40999386,——
000505.SZ,京粮控股,1992-12-21,-10.81541964,33.24721776,22.80754314,8.67,0.04,0.087737743,1.142806818,1.14,2.30997266,1.148868395,10.18643487,0.030614097,3.506565866,2.906527127,——,-17.89180214,19.13315157,540.6011684,42.23308172,58.22013351,41.77986649,1.465066921,0.531497142,0.899859526,——,75.49241915,3.914310303,1.192172684,0,0.685886649,——
600624.SH,复旦复华,1993-01-05,0.517140974,3.778907425,-12.91761864,10.15,0.0187,0.029978372,1.076667854,1.08,6.508039091,0.952751477,50.80374875,6.32442868,3.341738865,3.22087381,——,-3.111548922,-19.14603073,-278.8505011,40.36349081,57.70609783,42.29390217,1.720208883,0.374958044,0.634439152,——,677.3174374,46.15247192,0.132877134,-12.20657277,-58.82422993,——
600626.SH,申达股份,1993-01-07,-7.891211116,-20.98482605,-32.79828295,5.6,0.149,0.246061883,3.752959076,3.75,3.721157886,1.974881871,8.629778799,1.59877686,-3.901872622,7.365744038,——,163.6655772,-8.097379506,——,62.29650935,42.17650042,57.82349958,0.996377386,0.281983741,0.773995781,——,33.20688954,49.21045922,2.710280946,-72.76051188,-24.75153898,——
600628.SH,新世界,1993-01-19,-9.521791176,26.13021853,66.55966346,13.02,-0.02,-0.012173336,-0.323464822,-0.32,-6.839054591,-0.121868255,48.43138623,——,-1.124570461,-1.086538295,——,——,-35.82227137,——,32.31604324,37.73867646,62.26132354,1.239707017,0.649998973,1.148374849,——,149.8905638,54.65644277,0.600438064,-116.6666667,-72.08068784,——
600629.SH,XD华建集,1993-02-09,-2.911527526,0.114276735,-16.7470329,9.16,0.1135,0.130731431,1.997513889,2,3.659940044,0.679073025,19.79395669,1.862858002,6.371440896,6.178422034,——,18.12270343,-34.52125569,-2721.293832,67.4487222,72.58902893,27.41097107,1.104599203,0.136797298,0.753860762,——,214.3982788,131.0537198,0.419779489,-28.02790108,-7.012501172,——
600630.SH,龙头股份,1993-02-09,-23.34141982,-18.95025293,-14.61535694,7.26,-0.23,-0.206665404,-5.583255144,-5.58,-13.60677771,-2.8707075,21.78908262,1.687869482,-3.64732233,-16.06794211,——,——,-10.31438002,——,44.83051,84.36904992,15.63095008,1.888158224,0.20523608,1.126096545,——,164.2992979,48.72002655,0.547780795,-1250,-29.450567,——
600633.SH,浙数文化,1993-03-04,0.194386334,6.398400435,-0.152505106,10.81,0.15,0.230238147,2.357237066,2.36,23.29802558,2.618755668,72.85872592,11.52228196,4.618294568,8.088674408,——,-11.62015696,16.37702089,51.46095987,20.66555079,30.87192916,69.12807084,1.631258333,1.066422049,1.629269407,——,1.469806384,20.46573048,61.23255482,-25,56.4171843,——
600635.SH,大众公用,1993-03-04,11.81132217,-0.285392865,-24.02859691,5.36,0.0356,0.077094811,1.302052263,1.3,9.347128547,1.013632725,14.03416126,——,3.279009985,2.736648125,——,75.10306922,-5.484845796,-224.0943476,58.31797542,24.17337396,75.82662604,0.653236028,0.332172423,0.619210193,——,21.68342149,25.19652105,4.150636469,-15.63981043,-16.25047438,——
000506.SZ,中润资源,1993-03-12,-11.3402179,-14.19183603,-36.1446642,2.69,-0.0129,-0.00620561,-1.169039399,-1.17,-21.92617394,-0.219074709,11.68379619,——,-3.993711968,-3.340231149,——,——,48.10877539,——,60.66882558,40.93461671,59.06538329,0.941304527,0.109253163,0.567844544,——,477.7967031,6.182663007,0.188364632,-149.4252874,21.04573812,——
600636.SH,国新文化,1993-03-16,5.086081884,21.76993257,15.98115568,13.73,0.0394,0.028649986,0.586072139,0.58,20.8250869,0.382319012,21.62834747,14.74136827,4.610069979,2.241613565,——,162.9250512,-60.37077459,——,3.281004555,44.05925813,55.94074187,15.08485917,9.974821649,14.36446209,——,91.44657293,148.5927324,0.984181223,1676,-69.39240945,——
600637.SH,东方明珠,1993-03-16,-2.866430326,-18.92108067,-9.009886536,10.39,0.0837,0.090756527,0.979653103,0.975,7.876320881,0.695163995,29.11385009,1.431470587,5.908875196,3.823806872,——,27.59701552,-5.063760529,-74.57562655,22.57454732,57.2121751,42.7878249,2.843409105,0.931405261,2.381599002,——,159.5169087,68.54398192,0.564203511,-49.14945322,20.51235399,——
000507.SZ,珠海港,1993-03-26,-2.665887096,-10.44867834,-18.5302947,5.79,0.0124,0.046770563,0.223018145,0.22,2.484525839,0.451031632,15.261767,0.496655082,2.808478877,0.595927634,——,82.83510686,-23.4871644,-3233.741687,43.52365459,30.64767236,69.35232764,1.00752044,0.60918709,0.933082961,——,31.21342663,78.40680791,2.883374551,20.38834951,-3.939922104,——
600638.SH,新黄浦,1993-03-26,34.3629071,0.249470555,-17.80107556,7.72,0.0415,0.091761245,0.687162703,0.6847,14.1022562,0.41130729,32.24702971,——,-7.941947488,1.576245806,——,51.40731657,-122.9554712,-1284.759196,71.32722676,81.08560737,18.91439263,1.624590436,0.313333303,0.60718896,——,3319.872925,2.56003156,0.027109471,-0.479616307,-0.739691459,——
600639.SH,浦东金桥,1993-03-26,5.337382294,7.974243935,-6.453031256,15.95,0.3947,0.554598825,4.406349467,4.4,27.67385091,2.54724329,51.7033973,——,6.737295652,9.70447243,——,0.267785479,-104.9234111,-285.4777152,57.11027387,31.78046596,68.21953404,1.432897708,0.247928425,0.718496626,——,455.3316928,11.65004431,0.197658106,95.3960396,92.68549561,——
600640.SH,号百控股,1993-04-07,-9.705503256,-27.66092796,61.6010986,20.03,-0.0707,-0.09848405,-1.247755166,-1.2478,-10.76745312,-1.165871729,4.867158894,3.477069226,1.193558285,-4.685409139,——,——,10.57417672,——,24.6703395,74.98352464,25.01647536,3.571833669,1.774020352,3.561247938,——,2.580244428,133.0805564,34.88041637,-296.9359331,-38.65880351,——
600641.SH,万业企业,1993-04-07,16.02260198,9.156821005,120.543935,25.23,0.1021,0.120754113,1.226989198,1.23,24.58680712,1.359029484,39.22684528,——,6.915752011,4.882405511,——,-0.312188943,-24.76819252,-74.40090102,9.736298864,75.13174562,24.86825438,10.75866326,4.614445767,9.11546482,——,414.0981704,28.03253024,0.217339767,-61.29643669,-32.02687726,——
600642.SH,申能股份,1993-04-16,-2.859020866,-2.035818715,-9.426091546,6.03,0.092,0.168965844,1.519401691,1.52,10.80195584,1.2298275,15.90365898,0.011878353,4.633642417,3.77877177,——,27.18168702,25.96929186,299.4171775,43.32929887,23.14860901,76.85139099,1.074879797,0.674602115,1.032584501,——,15.52955159,60.79696547,5.795402366,-23.96694215,-54.87775021,——
600643.SH,爱建集团,1993-04-26,0.502776694,-13.01501055,-14.04128371,9.19,0.178,0.283481427,2.63739591,——,82.56989597,1.696913048,26.24164136,0.026964723,5.185943045,4.748377988,——,32.18886732,99.53014894,123.0640713,59.65143567,47.80991569,52.19008431,1.685010968,0.245341351,1.684142767,——,2.362595014,203.3815522,38.09370606,9.202453988,-2.405527815,——
600644.SH,乐山电力,1993-04-26,-4.394294796,-6.003304865,-20.12367331,5.59,0.0757,0.099601406,2.711610734,6.37,8.345309225,1.424034079,22.19284918,——,3.016081526,6.851907584,——,10.7872528,-21.66100925,-553.9473675,53.37423839,14.67170588,85.32829412,0.45337327,0.102245613,0.369630247,——,21.0888352,14.65980313,4.267661023,-23.45803842,-1.413667689,——
000023.SZ,深天地A,1993-04-29,-20.06123669,38.30997454,31.00391992,18.78,-0.0831,-0.048326265,-2.461883461,-2.46,-7.846292304,-0.274686202,4.715001912,——,2.248382977,-4.181936727,——,——,-109.691591,——,75.79890988,83.88404115,16.11595885,1.114716295,0.253826505,0.932901694,——,182.4917405,587.7710871,0.493173005,-177.3743017,-48.20249403,——
