date,新综指,沪深300,上证指数,机械设备,汽车,非银金融,银行,通信,传媒,计算机,国防军工,电气设备,建筑装饰,建筑材料,综合,休闲服务,商业贸易,房地产,交通运输,公用事业,医药生物,轻工制造,纺织服装,食品饮料,家用电器,电子,有色金属,钢铁,化工,采掘,农林牧渔
2019/9/11,-0.4119,-0.7367,-0.4101,-0.3,-0.1517,0.4965,0.7009,-2.1952,-0.6832,-1.4845,-1.2928,-0.4264,-0.2894,-0.7781,0.4508,-1.4914,-0.6034,-0.3389,-0.6301,-0.1251,-1.6748,-0.1101,-0.9063,-3.694,-0.8057,-0.7233,-0.1546,-0.0905,-0.0021,0.2192,-2.2404
2019/9/12,0.7477,1.0758,0.7453,0.6589,0.3979,2.0509,0.4075,0.9767,0.5221,0.7912,0.3229,0.8128,1.0828,1.0257,-0.1088,1.0284,0.4368,2.1633,0.7846,0.4368,0.2916,0.249,0.3762,1.5466,1.2994,0.254,-0.145,0.9904,0.6457,0.0401,-0.1221
2019/9/16,-0.0166,-0.3691,-0.0159,0.0427,0.1381,-1.3362,-0.5417,0.2234,0.3601,1.2449,0.0727,-0.0249,-0.4404,-0.3329,0.7902,0.0468,-0.2933,-0.5323,-0.2118,0.23,0.2612,-0.2321,0.5164,-0.3438,-0.7118,1.2896,0.5665,-0.1643,0.2226,1.281,0.4623
2019/9/17,-1.7369,-1.6801,-1.7368,-2.3888,-2.2719,-2.4147,-1.2531,-2.7582,-2.4873,-3.0201,-2.9525,-2.7192,-2.0777,-1.9622,-2.6542,-1.329,-1.8464,-1.6357,-1.4206,-1.7248,-1.5513,-1.9243,-1.1065,-0.5949,-1.7793,-2.1515,-2.63,-2.1031,-1.8433,-1.6628,-1.167
2019/9/18,0.2526,0.4848,0.2532,0.2446,0.0026,-0.1127,0.0608,-0.2847,0.4738,-0.8562,-0.7731,-0.1645,-0.1695,0.2262,0.22,1.2665,0.1882,0.8919,0.6165,-0.031,0.8306,0.0531,0.8083,3.2712,0.5246,0.4382,-0.3668,-0.3025,-0.5265,-1.1397,-0.1636
2019/9/19,0.4567,0.3657,0.4562,1.1798,0.7192,0.2659,0.1485,1.8811,0.4507,1.7179,1.8188,0.9378,0.4198,0.3888,0.771,2.4596,0.6457,-0.1086,0.1104,0.0358,0.7238,0.7136,0.4696,-0.3144,0.5928,2.6253,1.1356,0.327,0.6922,0.0193,0.8787
2019/9/20,0.2388,0.2872,0.239,0.7351,0.2545,-0.182,0.4383,-0.7325,-0.3232,0.1541,-0.5703,0.3411,0.2091,0.6631,-0.1774,-1.3979,0.243,-0.1454,0.2186,0.4534,0.7539,-0.118,-0.7012,0.7794,-0.3759,1.1584,0.2092,-0.4055,-0.4413,-0.2379,-0.2881
2019/9/23,-0.9795,-1.1431,-0.9769,-1.1947,-0.8321,-1.3114,-0.9339,-0.8467,-0.7353,-0.4667,-0.8214,-0.7818,-1.6008,-1.4914,-1.4002,-1.0014,-1.2725,-1.6244,-1.3326,-0.9104,-1.5381,-0.9479,-0.6739,-1.169,-0.8059,0.8563,-1.3146,-0.878,-1.1837,-0.9601,-1.8434
2019/9/24,0.278,0.2677,0.2776,0.2503,0.2072,-0.0734,-0.1556,1.5666,0.5413,0.8237,-0.1903,0.8506,-0.3114,-0.2472,0.4037,0.4989,0.2001,-0.0843,0.1788,0.1562,1.0499,-0.0002,0.2808,1.6807,0.1173,0.077,0.3569,-0.4361,0.0026,-0.355,-1.7169
2019/9/25,-1.0028,-0.7714,-1.0018,-1.5662,-1.8262,-0.5056,0.4538,-2.5987,-1.7281,-2.2901,-2.1062,-1.8661,-1.3121,-0.7796,-1.0198,-0.404,-0.5714,-0.7903,-0.6885,-1.5629,-1.2028,-1.4591,-1.3683,-0.5864,-1.3204,-4.0131,-0.6989,-1.0991,-1.0938,-1.478,-0.737
2019/9/26,-0.8909,-0.771,-0.8914,-2.2164,-1.9337,-0.8901,1.4533,-4.287,-2.4795,-4.3601,-4.2234,-2.2699,-1.1561,-0.7725,-2.4248,-0.925,-0.9627,-0.5248,-0.8462,-0.9433,-1.8262,-2.0814,-1.5179,-0.9205,-0.5878,-3.6401,-3.68,-0.5849,-2.1518,-0.9428,-5.8135
2019/9/27,0.1041,0.2998,0.1052,0.837,0.3919,0.3145,0.0409,1.176,1.0587,1.0926,0.4243,0.8182,0.3739,-0.2194,0.8394,-0.1277,-0.1104,-0.3461,-0.028,-0.2432,0.4253,0.7897,0.237,0.1066,-0.1547,2.5958,-0.0876,-0.0623,0.6444,-0.3596,3.2725
2019/9/30,-0.9225,-0.9896,-0.9201,-0.8968,-0.7116,-1.889,-1.0124,-1.9501,-1.6309,-1.7002,-1.1437,-1.0743,-0.4933,-0.1776,-0.6822,-0.3349,-0.7279,-0.4167,-0.5705,-0.5685,-0.4331,-0.5836,-0.42,-1.3399,-0.2782,-2.8593,-0.994,-0.6981,-0.5373,-0.2118,1.1293
2019/10/8,0.2902,0.6069,0.2885,0.5179,-0.3602,0.235,1.3274,-0.6506,-1.2597,-0.9191,-1.1521,0.1588,0.484,2.3593,1.5576,0.8743,-0.0563,1.9901,-0.7141,0.7628,0.5205,0.1029,0.1531,0.9874,1.8312,-1.498,-0.008,0.3662,0.2194,0.0177,2.5598
2019/10/9,0.3893,0.1449,0.3874,0.7165,0.3053,0.304,1.1889,0.9324,0.4282,1.0259,0.6871,0.9187,0.2698,0.2091,0.3989,-2.1397,0.4498,1.9141,0.8887,0.1569,-0.1456,0.8895,0.5127,-0.9482,-0.6409,0.841,1.3467,0.7286,0.9242,0.7814,0.3281
2019/10/10,0.7832,0.817,0.7814,1.0708,1.1604,0.5399,-0.0613,1.8316,1.1917,2.2909,0.9062,1.2424,0.5303,0.2858,1.5545,1.5391,1.2238,0.1898,2.0951,0.5753,2.7324,1.0042,1.2338,0.4627,0.6487,1.963,0.2771,0.4104,1.1641,0.4067,2.8085
2019/10/11,0.882,0.9571,0.8802,0.4938,0.3175,1.6644,1.9798,-0.2821,0.7665,0.0835,-0.3963,-0.4,0.2947,2.2936,0.6073,-0.3259,0.1982,0.5762,0.8098,0.6137,0.4279,0.4316,0.0101,0.6191,1.0336,-0.2832,-0.6261,0.3699,0.2044,1.0903,-0.8172
2019/10/14,1.1519,1.0613,1.151,1.1,1.9294,1.2116,2.0015,1.2518,2.4471,2.1512,1.5376,1.2854,1.1887,0.6428,1.518,0.3667,1.2318,1.0306,0.7708,0.9272,0.8422,1.3671,1.0281,0.3845,0.8285,2.2557,0.5126,0.8647,1.1645,0.5778,-0.1255
2019/10/15,-0.56,-0.4298,-0.5598,-1.0203,-1.2828,-0.8532,0.1531,-2.3144,-1.2533,-2.9024,-2.1507,-1.3074,-0.679,-0.919,0.0629,0.6625,-0.5803,-0.5897,-0.3231,-0.8169,-0.1603,-0.948,-0.7142,1.3709,-0.1397,-2.5628,-1.6648,-0.8348,-1.2643,-1.2472,-0.4428
2019/10/16,-0.4138,-0.3446,-0.4123,-0.8207,-0.6021,-0.0779,-0.4156,-0.7817,0.0243,0.2212,-0.778,-1.6537,-0.4214,0.1583,-0.2619,0.5828,-0.7934,0.5592,-0.4855,-0.2076,0.5042,-0.2576,-0.518,-1.9517,0.2621,-0.7889,-1.1648,-0.5135,-0.2851,-0.7076,-1.1766
2019/10/17,-0.0435,0.0646,-0.0463,-0.1917,-0.006,0.2407,-0.2025,0.1138,0.6031,0.3017,-0.7539,-0.4983,0.1284,-0.3695,-1.0562,0.2709,0.1404,-0.5249,0.0321,-0.1249,0.0147,0.2979,-0.3285,0.3886,-0.8278,0.4996,0.1221,-0.3165,-0.3206,-0.2625,-0.1536
2019/10/18,-1.3166,-1.4227,-1.3164,-1.3083,-1.3975,-2.189,-1.5674,-1.0015,-0.9089,-1.6878,-1.4483,-1.4999,-1.322,-1.2169,-1.0326,-1.2453,-0.8548,-1.7689,-1.462,-0.8401,-0.4538,-0.6096,-0.3664,-1.0108,-0.9368,-2.2748,-1.6934,-0.8557,-1.072,-1.0823,0.2624
2019/10/21,0.0506,0.2962,0.0502,-0.4187,-0.7674,-0.2899,1.1742,-0.8002,-0.8961,-0.356,0.2093,-0.3523,-0.2013,-0.0473,-0.7255,-0.2823,-0.1319,1.517,-0.2534,-0.6628,-1.3961,-0.7744,-0.1013,-0.2402,0.9581,0.0343,-0.2594,-0.258,-0.3899,-0.1628,3.4362
2019/10/22,0.5015,0.3876,0.5022,0.9228,0.5999,0.3521,-0.3357,1.1131,0.9683,2.2716,0.4027,0.9894,0.4626,0.2803,0.4558,0.2324,0.6756,0.1914,0.5247,0.4882,1.3935,1.5891,1.0096,0.5271,0.9365,1.9307,0.6672,0.4255,0.7368,0.1595,0.4326
2019/10/23,-0.4318,-0.6365,-0.4319,-0.9307,-0.568,-0.8093,-0.031,-0.869,-0.3603,-0.8845,-0.8613,-0.2732,-0.2248,-0.1282,-0.8393,-1.5524,-0.8649,-1.3133,-1.068,-0.2909,-1.52,-0.0982,-0.5479,-1.1959,-0.4119,-0.2339,-0.7138,-0.8534,-0.7337,-0.6388,0.5827
2019/10/24,-0.0239,-0.0108,-0.0237,-0.3218,0.2426,0.338,1.125,-0.5927,0.2403,-0.4644,0.3643,-0.0002,-0.1228,-0.2691,-0.0323,-2.1218,-0.6169,0.4557,-0.7136,0.4591,-0.6597,-0.5261,-0.5487,-1.4179,-0.4675,-0.2313,-0.3804,0.398,-0.354,0.3445,1.3416
2019/10/25,0.4787,0.6749,0.4764,0.6401,0.8325,-0.2749,-0.2257,0.9461,0.6096,0.6559,0.4085,0.5317,0.233,0.415,0.7502,1.3281,0.3995,0.7378,0.546,0.1864,1.1802,1.2336,0.3554,1.7079,-0.3772,1.6788,0.7286,0.4245,0.5956,0.5875,4.1329
2019/10/28,0.8503,0.7646,0.85,1.1967,1.2223,1.1548,-0.5987,3.174,3.276,6.0644,1.699,1.4579,0.6045,0.2756,1.2857,1.356,1.4431,-0.3919,1.0235,0.5839,1.4756,1.7782,1.0726,1.218,0.1202,2.1798,1.5034,0.4905,1.1764,0.4554,0.1565
2019/10/29,-0.868,-0.4166,-0.8682,-1.4049,-0.9823,-1.4378,-0.2916,-2.2502,-1.3844,-2.7993,-1.5994,-1.4793,-1.0875,-1.2946,-1.0851,0.0354,-1.452,-0.9529,-1.543,-0.8989,0.0414,-0.4307,-0.7894,1.0929,1.4787,-2.0087,-1.6971,-0.9555,-1.1866,-1.0349,1.4805
2019/10/30,-0.5029,-0.4859,-0.5029,-1.19,-1.0457,-0.4151,-0.33,-1.2933,-1.0159,-1.6346,-1.295,-1.0289,-1.2091,-0.5164,-1.6908,-1.3548,-0.4158,-0.8427,-0.3843,-0.5322,-0.8721,-1.093,-1.8234,-0.8852,-1.0684,0.3044,-1.3564,-0.8979,-0.9476,-0.7665,0.0359
2019/10/31,-0.3487,-0.115,-0.3492,-1.0811,-0.9841,-0.0313,-0.55,-0.3046,-1.2578,-1.8852,-0.5757,-0.6875,-0.7746,-0.7061,-0.4983,-0.0439,-0.7859,-0.6844,-0.6877,-0.4398,0.7384,-1.5303,-1.2985,0.6357,1.5424,-1.4161,-0.5576,-1.345,-0.5067,-0.5584,-2.6929
2019/11/1,0.9961,1.6887,0.995,0.8531,2.0832,1.7141,2.1072,0.9964,0.9869,0.8871,0.3963,0.6263,1.0404,2.2534,0.9707,0.2593,1.3421,1.6247,0.8366,0.6938,1.3032,0.6345,0.7038,0.897,6.5114,1.2241,1.2221,0.5673,0.773,0.4754,-0.8943
2019/11/4,0.5844,0.6511,0.5845,0.0841,0.3917,0.368,0.5736,0.8886,-0.1791,1.017,-0.3188,0.2783,0.2091,1.6363,0.5477,1.984,-0.1989,-0.0839,1.3206,0.2813,1.3602,0.7543,-0.2403,0.7774,0.7647,1.416,0.443,-0.4761,0.436,-0.0576,0.3532
2019/11/5,0.5407,0.6207,0.5401,0.0155,0.1822,0.6899,1.161,-0.4493,0.1599,0.4616,0.2956,0.8627,0.5085,0.4668,-0.4951,0.0826,0.0784,0.3822,0.0614,0.1291,0.0856,0.6948,0.157,0.4073,0.2496,1.3444,0.5537,0.436,0.365,0.535,1.1589
